"","rec_year","team","conference","position_group","avg_rating","total_rating","commits","avg_stars"
"60",2000,"Oklahoma State","Big 12","Running Back",0.9617999792099,0.9618,1,4
"61",2000,"Ole Miss","SEC","Offensive Line",0.961000025272369,0.961,1,4
"62",2000,"Penn State","Big Ten","Defensive Line",0.96985000371933,1.9397,2,4
"63",2000,"Penn State","Big Ten","Linebacker",0.976899981498718,0.9769,1,4
"64",2000,"Penn State","Big Ten","Offensive Line",0.975199997425079,1.9504,2,4
"65",2000,"Penn State","Big Ten","Quarterback",0.970700025558472,0.9707,1,4
"66",2000,"Penn State","Big Ten","Receiver",0.965499997138977,0.9655,1,4
"67",2000,"Penn State","Big Ten","Running Back",0.970899999141693,0.9709,1,4
"68",2000,"Pittsburgh","Big East","Running Back",0.960200011730194,0.9602,1,4
"69",2000,"Stanford","Pac-10","Linebacker",0.978100001811981,0.9781,1,4
"70",2000,"Stanford","Pac-10","Offensive Line",0.99779999256134,0.9978,1,5
"71",2000,"Stanford","Pac-10","Special Teams",0.982699990272522,0.9827,1,4
"72",2000,"Syracuse","Big East","Receiver",0.987100005149841,0.9871,1,5
"73",2000,"Syracuse","Big East","Running Back",0.965900003910065,0.9659,1,4
"74",2000,"TCU","Western Athletic","Running Back",0.986899971961975,0.9869,1,5
"75",2000,"Tennessee","SEC","Defensive Back",0.982450008392334,1.9649,2,4.5
"76",2000,"Tennessee","SEC","Defensive Line",0.96450001001358,2.8935,3,4
"77",2000,"Tennessee","SEC","Linebacker",0.964299976825714,0.9643,1,4
"78",2000,"Tennessee","SEC","Offensive Line",0.991333325703939,2.974,3,5
"79",2000,"Tennessee","SEC","Quarterback",0.975899994373322,1.9518,2,4.5
"80",2000,"Texas","Big 12","Defensive Line",0.979200005531311,1.9584,2,4
"81",2000,"Texas","Big 12","Quarterback",0.991800010204315,0.9918,1,5
"82",2000,"Texas","Big 12","Receiver",0.988850012421608,3.9554,4,4.75
"83",2000,"Texas A&M","Big 12","Defensive Back",0.97409999370575,0.9741,1,4
"84",2000,"UCLA","Pac-10","Defensive Back",0.965099990367889,0.9651,1,4
"85",2000,"UCLA","Pac-10","Offensive Line",0.983299970626831,0.9833,1,5
"86",2000,"UCLA","Pac-10","Receiver",0.975899994373322,0.9759,1,4
"87",2000,"USC","Pac-10","Linebacker",0.991400003433228,0.9914,1,5
"88",2000,"USC","Pac-10","Offensive Line",0.981899976730347,0.9819,1,4
"89",2000,"USC","Pac-10","Receiver",0.975099980831146,0.9751,1,4
"90",2000,"Vanderbilt","SEC","Receiver",0.963900029659271,0.9639,1,4
"91",2000,"Virginia","ACC","Linebacker",0.98470002412796,0.9847,1,5
"92",2000,"Virginia Tech","Big East","Receiver",0.96289998292923,0.9629,1,4
"93",2000,"Washington","Pac-10","Offensive Line",0.974699974060059,0.9747,1,4
"94",2000,"Wisconsin","Big Ten","Linebacker",0.970300018787384,0.9703,1,4
"95",2000,"Alabama","SEC","All Positions",0.97443749755621,7.7955,8,4.375
"96",2000,"Arizona State","Pac-10","All Positions",0.971799999475479,1.9436,2,4
"97",2000,"Arkansas","SEC","All Positions",0.968866646289825,2.9066,3,4
"98",2000,"Auburn","SEC","All Positions",0.969533344109853,2.9086,3,4.33333333333333
"99",2000,"Boston College","Big East","All Positions",0.973299980163574,0.9733,1,4
"100",2000,"Clemson","ACC","All Positions",0.971499979496002,0.9715,1,4
"101",2000,"Colorado","Big 12","All Positions",0.98006667693456,2.9402,3,4.33333333333333
"102",2000,"Florida","SEC","All Positions",0.979809999465942,9.7981,10,4.3
"103",2000,"Florida State","ACC","All Positions",0.984055545594957,8.8565,9,4.55555555555556
"104",2000,"Georgia","SEC","All Positions",0.989000022411346,0.989,1,5
"105",2000,"Georgia Tech","ACC","All Positions",0.972900003194809,1.9458,2,4
"106",2000,"Indiana","Big Ten","All Positions",0.962700009346008,0.9627,1,4
"107",2000,"Iowa","Big Ten","All Positions",0.974500000476837,0.9745,1,4
"108",2000,"Kansas State","Big 12","All Positions",0.976300001144409,0.9763,1,4
"109",2000,"Kentucky","SEC","All Positions",0.994599997997284,0.9946,1,5
"110",2000,"LSU","SEC","All Positions",0.970899999141693,1.9418,2,4
"111",2000,"Maryland","ACC","All Positions",0.964699983596802,0.9647,1,4
"112",2000,"Miami","Big East","All Positions",0.983383327722549,5.9003,6,4.5
"113",2000,"Michigan","Big Ten","All Positions",0.979099988937378,0.9791,1,4
"114",2000,"Michigan State","Big Ten","All Positions",0.983700001239777,4.9185,5,4.4
"115",2000,"Nebraska","Big 12","All Positions",0.978999972343445,1.958,2,4.5
"116",2000,"Notre Dame","FBS Independents","All Positions",0.97290001809597,3.8916,4,4
"117",2000,"Ohio State","Big Ten","All Positions",0.986100003123283,3.9444,4,4.75
"118",2000,"Oklahoma","Big 12","All Positions",0.986899971961975,0.9869,1,5
"119",2000,"Oklahoma State","Big 12","All Positions",0.9617999792099,0.9618,1,4
"120",2000,"Ole Miss","SEC","All Positions",0.961000025272369,0.961,1,4
"121",2000,"Penn State","Big Ten","All Positions",0.971762500703335,7.7741,8,4
"122",2000,"Pittsburgh","Big East","All Positions",0.960200011730194,0.9602,1,4
"123",2000,"Stanford","Pac-10","All Positions",0.986199994881948,2.9586,3,4.33333333333333
"124",2000,"Syracuse","Big East","All Positions",0.976500004529953,1.953,2,4.5
"125",2000,"TCU","Western Athletic","All Positions",0.986899971961975,0.9869,1,5
"126",2000,"Tennessee","SEC","All Positions",0.977136362682689,10.7485,11,4.45454545454545
"127",2000,"Texas","Big 12","All Positions",0.986514295850481,6.9056,7,4.57142857142857
"128",2000,"Texas A&M","Big 12","All Positions",0.97409999370575,0.9741,1,4
"129",2000,"UCLA","Pac-10","All Positions",0.974766651789347,2.9243,3,4.33333333333333
"130",2000,"USC","Pac-10","All Positions",0.98279998699824,2.9484,3,4.33333333333333
"131",2000,"Vanderbilt","SEC","All Positions",0.963900029659271,0.9639,1,4
"132",2000,"Virginia","ACC","All Positions",0.98470002412796,0.9847,1,5
"133",2000,"Virginia Tech","Big East","All Positions",0.96289998292923,0.9629,1,4
"134",2000,"Washington","Pac-10","All Positions",0.974699974060059,0.9747,1,4
"135",2000,"Wisconsin","Big Ten","All Positions",0.970300018787384,0.9703,1,4
"136",2002,"Air Force","Mountain West","Receiver",0.766700029373169,0.7667,1,2
"137",2002,"Akron","Mid-American","Defensive Back",0.766700029373169,2.3001,3,2
"138",2002,"Akron","Mid-American","Defensive Line",0.766700029373169,3.8335,5,2
"139",2002,"Akron","Mid-American","Linebacker",0.766700029373169,2.3001,3,2
"140",2002,"Akron","Mid-American","Offensive Line",0.766700029373169,2.3001,3,2
"141",2002,"Akron","Mid-American","Quarterback",0.766700029373169,1.5334,2,2
"142",2002,"Akron","Mid-American","Receiver",0.766700029373169,1.5334,2,2
"143",2002,"Akron","Mid-American","Special Teams",0.766700029373169,0.7667,1,2
"144",2002,"Alabama","SEC","Defensive Back",0.800000011920929,1.6,2,3
"145",2002,"Alabama","SEC","Defensive Line",0.899999976158142,0.9,1,4
"146",2002,"Alabama","SEC","Linebacker",0.788900017738342,2.3667,3,2.66666666666667
"147",2002,"Alabama","SEC","Quarterback",0.800000011920929,0.8,1,3
"148",2002,"Alabama","SEC","Running Back",0.800000011920929,1.6,2,2.5
"149",2002,"Arizona","Pac-10","Defensive Back",0.788900017738342,2.3667,3,2.66666666666667
"150",2002,"Arizona","Pac-10","Defensive Line",0.826660001277924,4.1333,5,3
"151",2002,"Arizona","Pac-10","Linebacker",0.783350020647049,1.5667,2,2.5
"152",2002,"Arizona","Pac-10","Offensive Line",0.808350011706352,3.2334,4,2.5
"153",2002,"Arizona","Pac-10","Quarterback",0.866699993610382,0.8667,1,3
"154",2002,"Arizona","Pac-10","Receiver",0.833366672197978,2.5001,3,2.66666666666667
"155",2002,"Arizona","Pac-10","Running Back",0.811100006103516,2.4333,3,2.66666666666667
"156",2002,"Arizona","Pac-10","Special Teams",0.766700029373169,1.5334,2,2
"157",2002,"Arizona State","Pac-10","Defensive Back",0.833350002765656,3.3334,4,3
"158",2002,"Arizona State","Pac-10","Defensive Line",0.788900017738342,2.3667,3,2.33333333333333
"159",2002,"Arizona State","Pac-10","Linebacker",0.800000011920929,1.6,2,3
"160",2002,"Arizona State","Pac-10","Offensive Line",0.786680018901825,3.9334,5,2.6
"161",2002,"Arizona State","Pac-10","Quarterback",0.783350020647049,1.5667,2,2.5
"162",2002,"Arizona State","Pac-10","Receiver",0.783350020647049,1.5667,2,2.5
"163",2002,"Arizona State","Pac-10","Running Back",0.849999994039536,1.7,2,3
"164",2002,"Arizona State","Pac-10","Special Teams",0.899999976158142,0.9,1,4
"165",2002,"Arkansas","SEC","Defensive Back",0.899999976158142,0.9,1,4
"166",2002,"Arkansas","SEC","Defensive Line",0.844599992036819,3.3784,4,3
"167",2002,"Arkansas","SEC","Linebacker",0.816700011491776,1.6334,2,2.5
"168",2002,"Arkansas","SEC","Offensive Line",0.868650019168854,1.7373,2,3.5
"169",2002,"Arkansas","SEC","Quarterback",0.899999976158142,0.9,1,4
"170",2002,"Arkansas","SEC","Receiver",0.857233345508575,2.5717,3,3
"171",2002,"Arkansas","SEC","Running Back",0.833299994468689,0.8333,1,3
"172",2002,"Arkansas State","Sun Belt","Defensive Back",0.766700029373169,3.0668,4,2
"173",2002,"Arkansas State","Sun Belt","Defensive Line",0.766700029373169,2.3001,3,2
"174",2002,"Arkansas State","Sun Belt","Linebacker",0.766700029373169,2.3001,3,2
"175",2002,"Arkansas State","Sun Belt","Offensive Line",0.766700029373169,1.5334,2,2
"176",2002,"Arkansas State","Sun Belt","Quarterback",0.766700029373169,1.5334,2,2
"177",2002,"Arkansas State","Sun Belt","Receiver",0.766700029373169,1.5334,2,2
"178",2002,"Arkansas State","Sun Belt","Running Back",0.766700029373169,1.5334,2,2
"179",2002,"Army","Conference USA","Defensive Back",0.766700029373169,1.5334,2,2
"180",2002,"Army","Conference USA","Quarterback",0.777800023555756,2.3334,3,2.33333333333333
"181",2002,"Army","Conference USA","Running Back",0.766700029373169,0.7667,1,2
"182",2002,"Auburn","SEC","Defensive Back",0.849999994039536,1.7,2,3.5
"183",2002,"Auburn","SEC","Defensive Line",0.82778333624204,4.9667,6,3
"184",2002,"Auburn","SEC","Linebacker",0.811100006103516,2.4333,3,2.66666666666667
"185",2002,"Auburn","SEC","Offensive Line",0.841649994254112,3.3666,4,3.25
"186",2002,"Auburn","SEC","Quarterback",0.849999994039536,1.7,2,3.5
"187",2002,"Auburn","SEC","Receiver",0.913149997591972,3.6526,4,4
"188",2002,"Auburn","SEC","Running Back",0.833299994468689,0.8333,1,3
"189",2002,"Auburn","SEC","Special Teams",0.82700001001358,4.135,5,2.8
"190",2002,"Baylor","Big 12","Defensive Back",0.822233339150747,2.4667,3,2.66666666666667
"191",2002,"Baylor","Big 12","Defensive Line",0.800000011920929,0.8,1,3
"192",2002,"Baylor","Big 12","Linebacker",0.811100006103516,2.4333,3,3
"193",2002,"Baylor","Big 12","Offensive Line",0.808325007557869,3.2333,4,2.75
"194",2002,"Baylor","Big 12","Quarterback",0.800000011920929,0.8,1,3
"195",2002,"Baylor","Big 12","Receiver",0.788900017738342,2.3667,3,2.66666666666667
"196",2002,"Baylor","Big 12","Special Teams",0.816675007343292,3.2667,4,2.75
"197",2002,"Boise State","Western Athletic","Defensive Back",0.766700029373169,3.0668,4,2
"198",2002,"Boise State","Western Athletic","Defensive Line",0.766700029373169,2.3001,3,2
"199",2002,"Boise State","Western Athletic","Linebacker",0.766700029373169,0.7667,1,2
"200",2002,"Boise State","Western Athletic","Offensive Line",0.766700029373169,5.3669,7,2
"201",2002,"Boise State","Western Athletic","Quarterback",0.766700029373169,0.7667,1,2
"202",2002,"Boise State","Western Athletic","Receiver",0.766700029373169,0.7667,1,2
"203",2002,"Boise State","Western Athletic","Running Back",0.766700029373169,1.5334,2,2
"204",2002,"Boise State","Western Athletic","Special Teams",0.766700029373169,0.7667,1,2
"205",2002,"Boston College","Big East","Defensive Back",0.833299994468689,0.8333,1,3
"206",2002,"Boston College","Big East","Defensive Line",0.832525014877319,3.3301,4,3.25
"207",2002,"Boston College","Big East","Linebacker",0.800000011920929,1.6,2,3
"208",2002,"Boston College","Big East","Offensive Line",0.866666654745738,2.6,3,3.66666666666667
"209",2002,"Boston College","Big East","Quarterback",0.833299994468689,0.8333,1,3
"210",2002,"Boston College","Big East","Receiver",0.833299994468689,0.8333,1,3
"211",2002,"Boston College","Big East","Running Back",0.833350002765656,1.6667,2,3
"212",2002,"Boston College","Big East","Special Teams",0.816650003194809,1.6333,2,3
"213",2002,"Bowling Green","Mid-American","Defensive Back",0.766700029373169,3.0668,4,2
"214",2002,"Bowling Green","Mid-American","Defensive Line",0.766700029373169,1.5334,2,2
"215",2002,"Bowling Green","Mid-American","Linebacker",0.766700029373169,1.5334,2,2
"216",2002,"Bowling Green","Mid-American","Offensive Line",0.766700029373169,0.7667,1,2
"217",2002,"Bowling Green","Mid-American","Quarterback",0.766700029373169,0.7667,1,2
"218",2002,"Bowling Green","Mid-American","Receiver",0.800000011920929,1.6,2,2.5
"219",2002,"Bowling Green","Mid-American","Running Back",0.766700029373169,1.5334,2,2
"220",2002,"Buffalo","Mid-American","Defensive Back",0.766700029373169,2.3001,3,2
"221",2002,"Buffalo","Mid-American","Defensive Line",0.766700029373169,0.7667,1,2
"222",2002,"Buffalo","Mid-American","Linebacker",0.766700029373169,3.8335,5,2
"223",2002,"Buffalo","Mid-American","Offensive Line",0.766700029373169,1.5334,2,2
"224",2002,"Buffalo","Mid-American","Receiver",0.766700029373169,3.8335,5,2
"225",2002,"Buffalo","Mid-American","Running Back",0.766700029373169,1.5334,2,2
"226",2002,"BYU","Mountain West","Defensive Back",0.766700029373169,1.5334,2,2
"227",2002,"BYU","Mountain West","Defensive Line",0.933349996805191,1.8667,2,4
"228",2002,"BYU","Mountain West","Linebacker",0.766700029373169,1.5334,2,2
"229",2002,"BYU","Mountain West","Quarterback",0.998000025749207,0.998,1,5
"230",2002,"BYU","Mountain West","Receiver",0.766700029373169,2.3001,3,2
"231",2002,"BYU","Mountain West","Running Back",0.780020022392273,3.9001,5,2.4
"232",2002,"BYU","Mountain West","Special Teams",0.783350020647049,1.5667,2,2.5
"233",2002,"Central Michigan","Mid-American","Defensive Back",0.766700029373169,3.8335,5,2
"234",2002,"Central Michigan","Mid-American","Defensive Line",0.766700029373169,3.0668,4,2
"235",2002,"Central Michigan","Mid-American","Offensive Line",0.766700029373169,3.0668,4,2
"236",2002,"Central Michigan","Mid-American","Receiver",0.766700029373169,3.0668,4,2
"237",2002,"Cincinnati","Conference USA","Defensive Back",0.766700029373169,3.0668,4,2
"238",2002,"Cincinnati","Conference USA","Defensive Line",0.766700029373169,1.5334,2,2
"239",2002,"Cincinnati","Conference USA","Linebacker",0.766700029373169,0.7667,1,2
"240",2002,"Cincinnati","Conference USA","Offensive Line",0.766700029373169,2.3001,3,2
"241",2002,"Cincinnati","Conference USA","Quarterback",0.766700029373169,0.7667,1,2
"242",2002,"Cincinnati","Conference USA","Receiver",0.783350020647049,1.5667,2,2.5
"243",2002,"Cincinnati","Conference USA","Running Back",0.766700029373169,0.7667,1,2
"244",2002,"Cincinnati","Conference USA","Special Teams",0.766700029373169,1.5334,2,2
"245",2002,"Clemson","ACC","Defensive Back",0.883349984884262,1.7667,2,3.5
"246",2002,"Clemson","ACC","Defensive Line",0.899999976158142,0.9,1,4
"247",2002,"Clemson","ACC","Linebacker",0.816650003194809,1.6333,2,3
"248",2002,"Clemson","ACC","Offensive Line",0.800025016069412,3.2001,4,2.5
"249",2002,"Clemson","ACC","Quarterback",0.833299994468689,0.8333,1,3
"250",2002,"Clemson","ACC","Receiver",0.855566660563151,2.5667,3,3.33333333333333
"251",2002,"Clemson","ACC","Running Back",0.800000011920929,1.6,2,2.5
"252",2002,"Clemson","ACC","Special Teams",0.822233339150747,2.4667,3,2.66666666666667
"253",2002,"Colorado","Big 12","Defensive Back",0.833333333333333,5,6,3
"254",2002,"Colorado","Big 12","Defensive Line",0.800000011920929,1.6,2,3
"255",2002,"Colorado","Big 12","Linebacker",0.833328570638384,5.8333,7,3
"256",2002,"Colorado","Big 12","Offensive Line",0.800000011920929,4,5,2.8
"257",2002,"Colorado","Big 12","Quarterback",0.800000011920929,0.8,1,3
"258",2002,"Colorado","Big 12","Receiver",0.883049994707108,3.5322,4,3.5
"259",2002,"Colorado","Big 12","Running Back",0.866649985313416,1.7333,2,3.5
"260",2002,"Colorado","Big 12","Special Teams",0.866699993610382,0.8667,1,3
"261",2002,"Colorado State","Mountain West","Defensive Back",0.773360025882721,3.8668,5,2.2
"262",2002,"Colorado State","Mountain West","Defensive Line",0.766700029373169,2.3001,3,2
"263",2002,"Colorado State","Mountain West","Linebacker",0.766700029373169,1.5334,2,2
"264",2002,"Colorado State","Mountain West","Offensive Line",0.777800023555756,2.3334,3,2.33333333333333
"265",2002,"Colorado State","Mountain West","Quarterback",0.783350020647049,1.5667,2,2.5
"266",2002,"Colorado State","Mountain West","Receiver",0.766700029373169,4.6002,6,2
"267",2002,"Colorado State","Mountain West","Running Back",0.816700011491776,1.6334,2,2.5
"268",2002,"Colorado State","Mountain West","Special Teams",0.766700029373169,0.7667,1,2
"269",2002,"Connecticut","FBS Independents","Defensive Back",0.766700029373169,1.5334,2,2
"270",2002,"Connecticut","FBS Independents","Defensive Line",0.766700029373169,0.7667,1,2
"271",2002,"Connecticut","FBS Independents","Linebacker",0.800000011920929,1.6,2,2.5
"272",2002,"Connecticut","FBS Independents","Offensive Line",0.766700029373169,0.7667,1,2
"273",2002,"Connecticut","FBS Independents","Quarterback",0.766700029373169,0.7667,1,2
"274",2002,"Connecticut","FBS Independents","Running Back",0.766700029373169,2.3001,3,2
"275",2002,"Duke","ACC","Defensive Back",0.766700029373169,2.3001,3,2
"276",2002,"Duke","ACC","Defensive Line",0.775025025010109,3.1001,4,2.25
"277",2002,"Duke","ACC","Linebacker",0.766700029373169,3.0668,4,2
"278",2002,"Duke","ACC","Offensive Line",0.766700029373169,0.7667,1,2
"279",2002,"Duke","ACC","Quarterback",0.766700029373169,0.7667,1,2
"280",2002,"Duke","ACC","Receiver",0.808350011706352,3.2334,4,2.75
"281",2002,"Duke","ACC","Running Back",0.788900017738342,2.3667,3,2.33333333333333
"282",2002,"Duke","ACC","Special Teams",0.783350020647049,1.5667,2,2.5
"283",2002,"East Carolina","Conference USA","Defensive Back",0.766700029373169,2.3001,3,2
"284",2002,"East Carolina","Conference USA","Defensive Line",0.766700029373169,0.7667,1,2
"285",2002,"East Carolina","Conference USA","Offensive Line",0.766700029373169,3.8335,5,2
"286",2002,"East Carolina","Conference USA","Quarterback",0.800000011920929,1.6,2,2.5
"287",2002,"East Carolina","Conference USA","Receiver",0.777800023555756,2.3334,3,2.33333333333333
"288",2002,"East Carolina","Conference USA","Special Teams",0.766700029373169,0.7667,1,2
"289",2002,"Eastern Michigan","Mid-American","Defensive Back",0.766700029373169,3.8335,5,2
"290",2002,"Eastern Michigan","Mid-American","Defensive Line",0.766700029373169,3.0668,4,2
"291",2002,"Eastern Michigan","Mid-American","Linebacker",0.766700029373169,3.0668,4,2
"292",2002,"Eastern Michigan","Mid-American","Offensive Line",0.766700029373169,3.0668,4,2
"293",2002,"Eastern Michigan","Mid-American","Receiver",0.766700029373169,3.8335,5,2
"294",2002,"Florida","SEC","Defensive Back",0.825000002980232,3.3,4,3
"295",2002,"Florida","SEC","Defensive Line",0.825000002980232,3.3,4,3
"296",2002,"Florida","SEC","Linebacker",0.899999976158142,0.9,1,4
"297",2002,"Florida","SEC","Offensive Line",0.876233339309692,2.6287,3,3.33333333333333
"298",2002,"Florida","SEC","Quarterback",0.907700002193451,1.8154,2,3.5
"299",2002,"Florida","SEC","Receiver",0.825000002980232,3.3,4,2.75
"300",2002,"Florida","SEC","Running Back",0.93639999628067,2.8092,3,4
"301",2002,"Florida","SEC","Special Teams",0.899999976158142,0.9,1,4
"302",2002,"Florida State","ACC","Defensive Back",0.917966683705648,2.7539,3,4
"303",2002,"Florida State","ACC","Defensive Line",0.92681999206543,4.6341,5,4
"304",2002,"Florida State","ACC","Linebacker",0.902149990200996,3.6086,4,3.75
"305",2002,"Florida State","ACC","Offensive Line",0.766700029373169,0.7667,1,2
"306",2002,"Florida State","ACC","Quarterback",0.899999976158142,0.9,1,4
"307",2002,"Florida State","ACC","Receiver",0.992200016975403,0.9922,1,5
"308",2002,"Florida State","ACC","Running Back",0.949599981307983,1.8992,2,4.5
"309",2002,"Florida State","ACC","Special Teams",0.94380001227061,2.8314,3,4
"310",2002,"Georgia","SEC","Defensive Back",0.841674998402596,3.3667,4,3
"311",2002,"Georgia","SEC","Defensive Line",0.905820000171661,4.5291,5,3.6
"312",2002,"Georgia","SEC","Linebacker",0.866699993610382,0.8667,1,3
"313",2002,"Georgia","SEC","Offensive Line",0.869166662295659,5.215,6,3.33333333333333
"314",2002,"Georgia","SEC","Quarterback",0.899999976158142,0.9,1,4
"315",2002,"Georgia","SEC","Receiver",0.850000008940697,3.4,4,3.25
"316",2002,"Georgia","SEC","Running Back",0.844466666380564,2.5334,3,3
"317",2002,"Georgia","SEC","Special Teams",0.849999994039536,1.7,2,3
"318",2002,"Georgia Tech","ACC","Defensive Back",0.800000011920929,2.4,3,2.66666666666667
"319",2002,"Georgia Tech","ACC","Defensive Line",0.800000011920929,1.6,2,3
"320",2002,"Georgia Tech","ACC","Offensive Line",0.800000011920929,0.8,1,3
"321",2002,"Georgia Tech","ACC","Receiver",0.833333333333333,2.5,3,3
"322",2002,"Georgia Tech","ACC","Running Back",0.816700011491776,1.6334,2,2.5
"323",2002,"Georgia Tech","ACC","Special Teams",0.825000002980232,3.3,4,3
"324",2002,"Hawai'i","Western Athletic","Defensive Line",0.766700029373169,3.0668,4,2
"325",2002,"Hawai'i","Western Athletic","Linebacker",0.766700029373169,0.7667,1,2
"326",2002,"Hawai'i","Western Athletic","Offensive Line",0.800000011920929,3.2,4,2.5
"327",2002,"Hawai'i","Western Athletic","Quarterback",0.833299994468689,0.8333,1,3
"328",2002,"Hawai'i","Western Athletic","Receiver",0.766700029373169,0.7667,1,2
"329",2002,"Hawai'i","Western Athletic","Running Back",0.766700029373169,0.7667,1,2
"330",2002,"Hawai'i","Western Athletic","Special Teams",0.766700029373169,0.7667,1,2
"331",2002,"Houston","Conference USA","Defensive Back",0.800000011920929,0.8,1,3
"332",2002,"Houston","Conference USA","Defensive Line",0.783350020647049,4.7001,6,2.33333333333333
"333",2002,"Houston","Conference USA","Offensive Line",0.766700029373169,0.7667,1,2
"334",2002,"Houston","Conference USA","Receiver",0.833333333333333,2.5,3,3
"335",2002,"Houston","Conference USA","Running Back",0.800000011920929,0.8,1,3
"336",2002,"Houston","Conference USA","Special Teams",0.826660001277924,4.1333,5,3
"337",2002,"Idaho","Sun Belt","Defensive Back",0.766700029373169,0.7667,1,2
