"","year","team","conference","division","total_games","total_wins","total_losses","total_ties","conference_games","conference_wins","conference_losses","conference_ties","home_games","home_wins","home_losses","home_ties","away_games","away_wins","away_losses","away_ties"
"25",2000,"East Carolina","Conference USA","",12,8,4,0,7,5,2,0,6,4,2,0,5,3,2,0
"26",2000,"Eastern Michigan","Mid-American","West",11,3,8,0,7,2,5,0,6,3,3,0,5,0,5,0
"27",2000,"Florida","SEC","East",13,10,3,0,9,8,1,0,7,7,0,0,4,2,2,0
"28",2000,"Florida State","ACC","",13,11,2,0,8,8,0,0,7,7,0,0,5,4,1,0
"29",2000,"Fresno State","Western Athletic","",12,7,5,0,8,6,2,0,5,5,0,0,6,2,4,0
"30",2000,"Georgia","SEC","East",12,8,4,0,8,5,3,0,6,5,1,0,5,2,3,0
"31",2000,"Georgia Tech","ACC","",12,9,3,0,8,6,2,0,6,5,1,0,5,4,1,0
"32",2000,"Hawai'i","Western Athletic","",12,3,9,0,8,2,6,0,8,3,5,0,4,0,4,0
"33",2000,"Houston","Conference USA","",11,3,8,0,7,2,5,0,4,2,2,0,7,1,6,0
"34",2000,"Idaho","Big West","",11,5,6,0,5,3,2,0,4,3,1,0,7,2,5,0
"35",2000,"Illinois","Big Ten","",11,5,6,0,8,2,6,0,6,4,2,0,5,1,4,0
"36",2000,"Indiana","Big Ten","",11,3,8,0,8,2,6,0,6,3,3,0,5,0,5,0
"37",2000,"Iowa","Big Ten","",12,3,9,0,8,3,5,0,6,2,4,0,6,1,5,0
"38",2000,"Iowa State","Big 12","North",12,9,3,0,8,5,3,0,6,4,2,0,5,4,1,0
"39",2000,"Kansas","Big 12","North",11,4,7,0,8,2,6,0,6,3,3,0,5,1,4,0
"40",2000,"Kansas State","Big 12","North",14,11,3,0,9,6,3,0,8,7,1,0,4,3,1,0
"41",2000,"Kent State","Mid-American","East",11,1,10,0,8,1,7,0,5,0,5,0,6,1,5,0
"42",2000,"Kentucky","SEC","East",11,2,9,0,8,0,8,0,6,2,4,0,5,0,5,0
"43",2000,"Louisiana","FBS Independents","",11,1,10,0,3,1,2,0,5,0,5,0,6,1,5,0
"44",2000,"Louisiana Monroe","FBS Independents","",11,1,10,0,4,0,4,0,5,1,4,0,6,0,6,0
"45",2000,"Louisiana Tech","FBS Independents","",12,3,9,0,4,2,2,0,4,2,2,0,8,1,7,0
"46",2000,"Louisville","Conference USA","",12,9,3,0,7,6,1,0,7,6,1,0,4,3,1,0
"47",2000,"LSU","SEC","West",12,8,4,0,8,5,3,0,7,6,1,0,4,1,3,0
"48",2000,"Marshall","Mid-American","East",13,8,5,0,9,6,3,0,5,4,1,0,6,2,4,0
"49",2000,"Maryland","ACC","",11,5,6,0,8,3,5,0,6,4,2,0,5,1,4,0
"50",2000,"Memphis","Conference USA","",11,4,7,0,7,2,5,0,6,2,4,0,5,2,3,0
"51",2000,"Miami","Big East","",12,11,1,0,7,7,0,0,6,6,0,0,5,4,1,0
"52",2000,"Miami (OH)","Mid-American","East",11,6,5,0,8,5,3,0,4,3,1,0,7,3,4,0
"53",2000,"Michigan","Big Ten","",12,9,3,0,8,6,2,0,6,6,0,0,5,2,3,0
"54",2000,"Michigan State","Big Ten","",11,5,6,0,8,2,6,0,6,4,2,0,5,1,4,0
"55",2000,"Middle Tennessee","FBS Independents","",11,6,5,0,5,5,0,0,5,5,0,0,6,1,5,0
"56",2000,"Minnesota","Big Ten","",12,6,6,0,8,4,4,0,6,4,2,0,5,2,3,0
"57",2000,"Mississippi State","SEC","West",12,8,4,0,8,4,4,0,5,4,1,0,6,3,3,0
"58",2000,"Missouri","Big 12","North",11,3,8,0,8,2,6,0,6,2,4,0,5,1,4,0
"59",2000,"Navy","FBS Independents","",11,1,10,0,1,0,1,0,6,1,5,0,5,0,5,0
"60",2000,"NC State","ACC","",12,8,4,0,8,4,4,0,6,5,1,0,5,2,3,0
"61",2000,"Nebraska","Big 12","North",12,10,2,0,8,6,2,0,6,6,0,0,5,3,2,0
"62",2000,"Nevada","Western Athletic","",12,2,10,0,8,1,7,0,5,1,4,0,7,1,6,0
"63",2000,"New Mexico","Mountain West","",12,5,7,0,7,3,4,0,6,3,3,0,6,2,4,0
"64",2000,"New Mexico State","Big West","",11,3,8,0,5,1,4,0,5,2,3,0,6,1,5,0
"65",2000,"North Carolina","ACC","",11,6,5,0,8,3,5,0,6,3,3,0,5,3,2,0
"66",2000,"Northern Illinois","Mid-American","West",11,6,5,0,7,4,3,0,5,4,1,0,6,2,4,0
"67",2000,"North Texas","Big West","",11,3,8,0,5,1,4,0,5,2,3,0,6,1,5,0
"68",2000,"Northwestern","Big Ten","",12,8,4,0,8,6,2,0,6,5,1,0,5,3,2,0
"69",2000,"Notre Dame","FBS Independents","",12,9,3,0,1,1,0,0,7,6,1,0,4,3,1,0
"70",2000,"Ohio","Mid-American","East",11,7,4,0,8,5,3,0,5,4,1,0,6,3,3,0
"71",2000,"Ohio State","Big Ten","",12,8,4,0,8,5,3,0,6,4,2,0,5,4,1,0
"72",2000,"Oklahoma","Big 12","South",13,13,0,0,9,9,0,0,7,7,0,0,4,4,0,0
"73",2000,"Oklahoma State","Big 12","South",11,3,8,0,8,1,7,0,6,2,4,0,5,1,4,0
"74",2000,"Ole Miss","SEC","West",12,7,5,0,8,4,4,0,7,5,2,0,4,2,2,0
"75",2000,"Oregon","Pac-10","",12,10,2,0,8,7,1,0,6,6,0,0,5,3,2,0
"76",2000,"Oregon State","Pac-10","",12,11,1,0,8,7,1,0,6,6,0,0,5,4,1,0
"77",2000,"Penn State","Big Ten","",12,5,7,0,8,4,4,0,6,4,2,0,6,1,5,0
"78",2000,"Pittsburgh","Big East","",12,7,5,0,7,4,3,0,6,5,1,0,5,2,3,0
"79",2000,"Purdue","Big Ten","",12,8,4,0,8,6,2,0,6,6,0,0,5,2,3,0
"80",2000,"Rice","Western Athletic","",11,3,8,0,8,2,6,0,5,3,2,0,6,0,6,0
"81",2000,"Rutgers","Big East","",11,3,8,0,7,0,7,0,6,2,4,0,5,1,4,0
"82",2000,"San Diego State","Mountain West","",11,3,8,0,7,3,4,0,5,0,5,0,6,3,3,0
"83",2000,"San José State","Western Athletic","",12,7,5,0,8,5,3,0,5,3,2,0,7,4,3,0
"84",2000,"SMU","Western Athletic","",12,3,9,0,8,2,6,0,6,3,3,0,6,0,6,0
"85",2000,"South Carolina","SEC","East",12,8,4,0,8,5,3,0,6,5,1,0,5,2,3,0
"86",2000,"Southern Mississippi","Conference USA","",12,8,4,0,7,4,3,0,4,2,2,0,7,5,2,0
"87",2000,"South Florida","FBS Independents","",11,7,4,0,2,1,1,0,6,6,0,0,5,1,4,0
"88",2000,"Stanford","Pac-10","",11,5,6,0,8,4,4,0,6,3,3,0,5,2,3,0
"89",2000,"Syracuse","Big East","",11,6,5,0,7,4,3,0,6,4,2,0,5,2,3,0
"90",2000,"TCU","Western Athletic","",12,10,2,0,8,7,1,0,6,6,0,0,5,4,1,0
"91",2000,"Temple","Big East","",11,4,7,0,7,1,6,0,6,2,4,0,5,2,3,0
"92",2000,"Tennessee","SEC","East",12,8,4,0,8,5,3,0,6,5,1,0,5,3,2,0
"93",2000,"Texas","Big 12","South",12,9,3,0,8,7,1,0,6,6,0,0,5,3,2,0
"94",2000,"Texas A&M","Big 12","South",12,7,5,0,8,5,3,0,6,4,2,0,5,3,2,0
"95",2000,"Texas Tech","Big 12","South",13,7,6,0,8,3,5,0,8,6,2,0,4,1,3,0
"96",2000,"Toledo","Mid-American","West",11,10,1,0,7,6,1,0,6,6,0,0,5,4,1,0
"97",2000,"Tulane","Conference USA","",11,6,5,0,7,3,4,0,5,4,1,0,6,2,4,0
"98",2000,"Tulsa","Western Athletic","",12,5,7,0,8,4,4,0,6,3,3,0,6,2,4,0
"99",2000,"UAB","Conference USA","",11,7,4,0,6,3,3,0,6,4,2,0,5,3,2,0
"100",2000,"UCF","FBS Independents","",11,7,4,0,2,2,0,0,5,4,1,0,6,3,3,0
"101",2000,"UCLA","Pac-10","",12,6,6,0,8,3,5,0,7,5,2,0,4,1,3,0
"102",2000,"UNLV","Mountain West","",13,8,5,0,7,4,3,0,5,5,0,0,7,2,5,0
"103",2000,"USC","Pac-10","",12,5,7,0,8,2,6,0,8,3,5,0,4,2,2,0
"104",2000,"Utah","Mountain West","",11,4,7,0,7,3,4,0,6,1,5,0,5,3,2,0
"105",2000,"Utah State","Big West","",11,5,6,0,5,4,1,0,5,3,2,0,6,2,4,0
"106",2000,"UTEP","Western Athletic","",12,8,4,0,8,7,1,0,5,5,0,0,6,3,3,0
"107",2000,"Vanderbilt","SEC","East",11,3,8,0,8,1,7,0,6,1,5,0,5,2,3,0
"108",2000,"Virginia","ACC","",12,6,6,0,8,5,3,0,6,4,2,0,5,2,3,0
"109",2000,"Virginia Tech","Big East","",12,11,1,0,7,6,1,0,6,6,0,0,5,4,1,0
"110",2000,"Wake Forest","ACC","",11,2,9,0,8,1,7,0,6,1,5,0,5,1,4,0
"111",2000,"Washington","Pac-10","",12,11,1,0,8,7,1,0,6,6,0,0,5,4,1,0
"112",2000,"Washington State","Pac-10","",11,4,7,0,8,2,6,0,6,1,5,0,5,3,2,0
"113",2000,"Western Michigan","Mid-American","West",12,9,3,0,9,7,2,0,5,5,0,0,6,4,2,0
"114",2000,"West Virginia","Big East","",12,7,5,0,7,3,4,0,7,4,3,0,4,2,2,0
"115",2000,"Wisconsin","Big Ten","",13,9,4,0,8,4,4,0,7,4,3,0,5,4,1,0
"116",2000,"Wyoming","Mountain West","",11,1,10,0,7,0,7,0,5,1,4,0,6,0,6,0
"117",2001,"Air Force","Mountain West","",12,6,6,0,8,4,4,0,6,4,2,0,6,2,4,0
"118",2001,"Akron","Mid-American","East",11,4,7,0,8,4,4,0,4,3,1,0,7,1,6,0
"119",2001,"Alabama","SEC","West",12,7,5,0,8,4,4,0,7,4,3,0,5,3,2,0
"120",2001,"Arizona","Pac-10","",11,5,6,0,10,4,6,0,6,2,4,0,5,3,2,0
"121",2001,"Arizona State","Pac-10","",11,4,7,0,9,2,7,0,7,4,3,0,4,0,4,0
"122",2001,"Arkansas","SEC","West",12,7,5,0,8,4,4,0,7,6,1,0,5,1,4,0
"123",2001,"Arkansas State","Sun Belt","",11,2,9,0,6,2,4,0,6,2,4,0,5,0,5,0
"124",2001,"Army","Conference USA","",11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
"125",2001,"Auburn","SEC","West",12,7,5,0,8,5,3,0,7,5,2,0,5,2,3,0
"126",2001,"Ball State","Mid-American","West",11,5,6,0,7,4,3,0,5,2,3,0,6,3,3,0
"127",2001,"Baylor","Big 12","South",11,3,8,0,8,0,8,0,7,3,4,0,4,0,4,0
"128",2001,"Boise State","Western Athletic","",12,8,4,0,8,6,2,0,6,5,1,0,6,3,3,0
"129",2001,"Boston College","Big East","",12,8,4,0,7,4,3,0,6,5,1,0,6,3,3,0
"130",2001,"Bowling Green","Mid-American","East",11,8,3,0,8,5,3,0,5,4,1,0,6,4,2,0
"131",2001,"Buffalo","Mid-American","East",11,3,8,0,8,1,7,0,5,1,4,0,6,2,4,0
"132",2001,"BYU","Mountain West","",14,12,2,0,10,9,1,0,7,6,1,0,7,6,1,0
"133",2001,"California","Pac-10","",11,1,10,0,10,0,10,0,6,0,6,0,5,1,4,0
"134",2001,"Central Michigan","Mid-American","West",11,3,8,0,8,2,6,0,5,2,3,0,6,1,5,0
"135",2001,"Cincinnati","Conference USA","",12,7,5,0,8,5,3,0,6,3,3,0,6,4,2,0
"136",2001,"Clemson","ACC","",12,7,5,0,8,4,4,0,6,3,3,0,6,4,2,0
"137",2001,"Colorado","Big 12","North",13,10,3,0,9,8,1,0,6,5,1,0,7,5,2,0
"138",2001,"Colorado State","Mountain West","",12,7,5,0,8,5,3,0,7,4,3,0,5,3,2,0
"139",2001,"Connecticut","FBS Independents","",11,2,9,0,0,0,0,0,5,1,4,0,6,1,5,0
"140",2001,"Duke","ACC","",11,0,11,0,9,0,9,0,6,0,6,0,5,0,5,0
"141",2001,"East Carolina","Conference USA","",12,6,6,0,10,6,4,0,5,2,3,0,7,4,3,0
"142",2001,"Eastern Michigan","Mid-American","West",11,2,9,0,7,1,6,0,5,2,3,0,6,0,6,0
"143",2001,"Florida","SEC","East",12,10,2,0,8,6,2,0,8,7,1,0,4,3,1,0
"144",2001,"Florida State","ACC","",12,8,4,0,9,7,2,0,6,4,2,0,6,4,2,0
"145",2001,"Fresno State","Western Athletic","",14,11,3,0,8,6,2,0,7,5,2,0,7,6,1,0
"146",2001,"Georgia","SEC","East",12,8,4,0,8,5,3,0,7,4,3,0,5,4,1,0
"147",2001,"Georgia Tech","ACC","",13,8,5,0,9,5,4,0,6,3,3,0,7,5,2,0
"148",2001,"Hawai'i","Western Athletic","",12,9,3,0,8,5,3,0,9,7,2,0,3,2,1,0
"149",2001,"Houston","Conference USA","",11,0,11,0,7,0,7,0,6,0,6,0,5,0,5,0
"150",2001,"Idaho","Sun Belt","",11,1,10,0,6,1,5,0,4,1,3,0,7,0,7,0
"151",2001,"Illinois","Big Ten","",12,10,2,0,10,9,1,0,7,6,1,0,5,4,1,0
"152",2001,"Indiana","Big Ten","",11,5,6,0,10,4,6,0,6,3,3,0,5,2,3,0
"153",2001,"Iowa","Big Ten","",12,7,5,0,8,4,4,0,6,5,1,0,6,2,4,0
"154",2001,"Iowa State","Big 12","North",12,7,5,0,8,4,4,0,7,4,3,0,5,3,2,0
"155",2001,"Kansas","Big 12","North",11,3,8,0,8,1,7,0,7,2,5,0,4,1,3,0
"156",2001,"Kansas State","Big 12","North",12,6,6,0,8,3,5,0,7,4,3,0,5,2,3,0
"157",2001,"Kent State","Mid-American","East",11,6,5,0,8,5,3,0,5,4,1,0,6,2,4,0
"158",2001,"Kentucky","SEC","East",11,2,9,0,8,1,7,0,6,1,5,0,5,1,4,0
"159",2001,"Louisiana","Sun Belt","",11,3,8,0,6,2,4,0,5,2,3,0,6,1,5,0
"160",2001,"Louisiana Monroe","Sun Belt","",11,2,9,0,6,2,4,0,5,1,4,0,6,1,5,0
"161",2001,"Louisiana Tech","Western Athletic","",12,7,5,0,8,7,1,0,5,4,1,0,7,3,4,0
"162",2001,"Louisville","Conference USA","",13,11,2,0,10,8,2,0,6,6,0,0,7,5,2,0
"163",2001,"LSU","SEC","West",13,10,3,0,9,6,3,0,8,6,2,0,5,4,1,0
"164",2001,"Marshall","Mid-American","East",13,11,2,0,9,8,1,0,7,7,0,0,6,4,2,0
"165",2001,"Maryland","ACC","",12,10,2,0,8,7,1,0,7,7,0,0,5,3,2,0
"166",2001,"Memphis","Conference USA","",11,5,6,0,7,3,4,0,6,4,2,0,5,1,4,0
"167",2001,"Miami","Big East","",12,12,0,0,7,7,0,0,7,7,0,0,5,5,0,0
"168",2001,"Miami (OH)","Mid-American","East",12,7,5,0,8,6,2,0,5,4,1,0,7,3,4,0
"169",2001,"Michigan","Big Ten","",12,8,4,0,9,6,3,0,6,5,1,0,6,3,3,0
"170",2001,"Michigan State","Big Ten","",12,7,5,0,8,3,5,0,6,4,2,0,6,3,3,0
"171",2001,"Middle Tennessee","Sun Belt","",11,8,3,0,6,5,1,0,5,5,0,0,6,3,3,0
"172",2001,"Minnesota","Big Ten","",11,4,7,0,8,2,6,0,6,4,2,0,5,0,5,0
"173",2001,"Mississippi State","SEC","West",11,3,8,0,8,2,6,0,7,3,4,0,4,0,4,0
"174",2001,"Missouri","Big 12","North",11,4,7,0,8,3,5,0,6,2,4,0,5,2,3,0
"175",2001,"Navy","FBS Independents","",10,0,10,0,0,0,0,0,6,0,6,0,4,0,4,0
"176",2001,"NC State","ACC","",12,7,5,0,9,5,4,0,7,3,4,0,5,4,1,0
"177",2001,"Nebraska","Big 12","North",13,11,2,0,8,7,1,0,8,8,0,0,5,3,2,0
"178",2001,"Nevada","Western Athletic","",11,3,8,0,8,3,5,0,5,2,3,0,6,1,5,0
"179",2001,"New Mexico","Mountain West","",11,6,5,0,7,4,3,0,6,4,2,0,5,2,3,0
"180",2001,"New Mexico State","Sun Belt","",12,5,7,0,6,4,2,0,4,2,2,0,8,3,5,0
"181",2001,"North Carolina","ACC","",13,8,5,0,9,6,3,0,6,5,1,0,7,3,4,0
"182",2001,"Northern Illinois","Mid-American","West",11,6,5,0,7,4,3,0,6,5,1,0,5,1,4,0
"183",2001,"North Texas","Sun Belt","",12,5,7,0,6,5,1,0,5,3,2,0,7,2,5,0
"184",2001,"Northwestern","Big Ten","",11,4,7,0,10,4,6,0,5,2,3,0,6,2,4,0
"185",2001,"Notre Dame","FBS Independents","",11,5,6,0,0,0,0,0,6,4,2,0,5,1,4,0
"186",2001,"Ohio","Mid-American","East",11,1,10,0,8,1,7,0,5,0,5,0,6,1,5,0
"187",2001,"Ohio State","Big Ten","",12,7,5,0,9,5,4,0,6,4,2,0,6,3,3,0
"188",2001,"Oklahoma","Big 12","South",13,11,2,0,8,6,2,0,8,7,1,0,5,4,1,0
"189",2001,"Oklahoma State","Big 12","South",11,4,7,0,8,2,6,0,6,2,4,0,5,2,3,0
"190",2001,"Ole Miss","SEC","West",11,7,4,0,8,4,4,0,6,4,2,0,5,3,2,0
"191",2001,"Oregon","Pac-10","",12,11,1,0,10,9,1,0,7,6,1,0,5,5,0,0
"192",2001,"Oregon State","Pac-10","",11,5,6,0,8,3,5,0,5,4,1,0,6,1,5,0
"193",2001,"Penn State","Big Ten","",11,5,6,0,10,5,5,0,6,3,3,0,5,2,3,0
"194",2001,"Pittsburgh","Big East","",12,7,5,0,7,4,3,0,6,3,3,0,6,4,2,0
"195",2001,"Purdue","Big Ten","",12,6,6,0,10,5,5,0,6,4,2,0,6,2,4,0
"196",2001,"Rice","Western Athletic","",12,8,4,0,8,5,3,0,5,5,0,0,7,3,4,0
"197",2001,"Rutgers","Big East","",11,2,9,0,7,0,7,0,7,1,6,0,4,1,3,0
"198",2001,"San Diego State","Mountain West","",11,3,8,0,9,2,7,0,6,2,4,0,5,1,4,0
"199",2001,"San José State","Western Athletic","",12,3,9,0,8,3,5,0,4,2,2,0,8,1,7,0
"200",2001,"SMU","Western Athletic","",11,4,7,0,8,4,4,0,6,2,4,0,5,2,3,0
"201",2001,"South Carolina","SEC","East",12,9,3,0,8,5,3,0,8,7,1,0,4,2,2,0
"202",2001,"Southern Mississippi","Conference USA","",11,6,5,0,8,4,4,0,5,4,1,0,6,2,4,0
"203",2001,"South Florida","FBS Independents","",11,8,3,0,0,0,0,0,7,7,0,0,4,1,3,0
"204",2001,"Stanford","Pac-10","",12,9,3,0,9,6,3,0,7,5,2,0,5,4,1,0
"205",2001,"Syracuse","Big East","",13,10,3,0,7,6,1,0,7,6,1,0,6,4,2,0
"206",2001,"TCU","Conference USA","",12,6,6,0,7,4,3,0,4,2,2,0,8,4,4,0
"207",2001,"Temple","Big East","",11,4,7,0,7,2,5,0,6,3,3,0,5,1,4,0
"208",2001,"Tennessee","SEC","East",13,11,2,0,9,7,2,0,7,6,1,0,6,5,1,0
"209",2001,"Texas","Big 12","South",13,11,2,0,9,7,2,0,8,6,2,0,5,5,0,0
"210",2001,"Texas A&M","Big 12","South",12,8,4,0,8,4,4,0,7,6,1,0,5,2,3,0
"211",2001,"Texas Tech","Big 12","South",12,7,5,0,8,4,4,0,7,4,3,0,5,3,2,0
"212",2001,"Toledo","Mid-American","West",12,10,2,0,8,6,2,0,7,7,0,0,5,3,2,0
"213",2001,"Troy","FBS Independents","",11,7,4,0,0,0,0,0,5,5,0,0,6,2,4,0
"214",2001,"Tulane","Conference USA","",12,3,9,0,8,1,7,0,5,2,3,0,7,1,6,0
"215",2001,"Tulsa","Western Athletic","",11,1,10,0,8,0,8,0,6,1,5,0,5,0,5,0
"216",2001,"UAB","Conference USA","",11,6,5,0,8,5,3,0,5,4,1,0,6,2,4,0
"217",2001,"UCF","FBS Independents","",11,6,5,0,0,0,0,0,5,5,0,0,6,1,5,0
"218",2001,"UCLA","Pac-10","",11,7,4,0,9,5,4,0,5,4,1,0,6,3,3,0
"219",2001,"UNLV","Mountain West","",11,4,7,0,9,3,6,0,5,1,4,0,6,3,3,0
"220",2001,"USC","Pac-10","",12,6,6,0,9,5,4,0,6,4,2,0,6,2,4,0
"221",2001,"Utah","Mountain West","",12,8,4,0,10,6,4,0,6,6,0,0,6,2,4,0
"222",2001,"Utah State","FBS Independents","",11,4,7,0,0,0,0,0,5,3,2,0,6,1,5,0
"223",2001,"UTEP","Western Athletic","",11,2,9,0,8,1,7,0,5,2,3,0,6,0,6,0
"224",2001,"Vanderbilt","SEC","East",11,2,9,0,8,0,8,0,6,1,5,0,5,1,4,0
"225",2001,"Virginia","ACC","",12,5,7,0,11,5,6,0,7,4,3,0,5,1,4,0
"226",2001,"Virginia Tech","Big East","",12,8,4,0,7,4,3,0,7,4,3,0,5,4,1,0
"227",2001,"Wake Forest","ACC","",11,6,5,0,9,4,5,0,6,2,4,0,5,4,1,0
"228",2001,"Washington","Pac-10","",12,8,4,0,9,7,2,0,6,6,0,0,6,2,4,0
"229",2001,"Washington State","Pac-10","",12,10,2,0,9,7,2,0,7,6,1,0,5,4,1,0
"230",2001,"Western Michigan","Mid-American","West",11,5,6,0,8,4,4,0,5,4,1,0,6,1,5,0
"231",2001,"West Virginia","Big East","",11,3,8,0,7,1,6,0,6,3,3,0,5,0,5,0
"232",2001,"Wisconsin","Big Ten","",12,5,7,0,10,4,6,0,7,3,4,0,5,2,3,0
"233",2001,"Wyoming","Mountain West","",11,2,9,0,7,0,7,0,6,1,5,0,5,1,4,0
"234",2002,"Air Force","Mountain West","",13,8,5,0,10,7,3,0,7,4,3,0,6,4,2,0
"235",2002,"Akron","Mid-American","East",12,4,8,0,8,3,5,0,5,3,2,0,7,1,6,0
"236",2002,"Alabama","SEC","West",13,10,3,0,8,6,2,0,7,5,2,0,6,5,1,0
"237",2002,"Arizona","Pac-10","",12,4,8,0,10,2,8,0,7,3,4,0,5,1,4,0
"238",2002,"Arizona State","Pac-10","",14,8,6,0,10,6,4,0,8,5,3,0,6,3,3,0
"239",2002,"Arkansas","SEC","West",14,9,5,0,9,5,4,0,9,6,3,0,5,3,2,0
"240",2002,"Arkansas State","Sun Belt","",13,6,7,0,6,3,3,0,7,4,3,0,6,2,4,0
"241",2002,"Army","Conference USA","",12,1,11,0,9,1,8,0,6,0,6,0,6,1,5,0
"242",2002,"Auburn","SEC","West",13,9,4,0,8,5,3,0,8,6,2,0,5,3,2,0
"243",2002,"Ball State","Mid-American","West",12,6,6,0,8,4,4,0,5,4,1,0,7,2,5,0
"244",2002,"Baylor","Big 12","South",12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
"245",2002,"Boise State","Western Athletic","",13,12,1,0,8,8,0,0,7,7,0,0,6,5,1,0
"246",2002,"Boston College","Big East","",13,9,4,0,7,3,4,0,7,6,1,0,6,3,3,0
"247",2002,"Bowling Green","Mid-American","West",12,9,3,0,8,6,2,0,6,6,0,0,6,3,3,0
"248",2002,"Buffalo","Mid-American","East",12,1,11,0,8,0,8,0,6,0,6,0,6,1,5,0
"249",2002,"BYU","Mountain West","",12,5,7,0,8,2,6,0,6,4,2,0,6,1,5,0
"250",2002,"California","Pac-10","",12,7,5,0,10,5,5,0,7,4,3,0,5,3,2,0
"251",2002,"Central Michigan","Mid-American","West",12,4,8,0,8,2,6,0,6,2,4,0,6,2,4,0
"252",2002,"Cincinnati","Conference USA","",14,7,7,0,9,6,3,0,8,4,4,0,6,3,3,0
"253",2002,"Clemson","ACC","",13,7,6,0,8,4,4,0,7,5,2,0,6,2,4,0
"254",2002,"Colorado","Big 12","North",14,9,5,0,9,7,2,0,8,5,3,0,6,4,2,0
"255",2002,"Colorado State","Mountain West","",14,10,4,0,11,8,3,0,6,4,2,0,8,6,2,0
"256",2002,"Connecticut","FBS Independents","",12,6,6,0,0,0,0,0,6,3,3,0,6,3,3,0
"257",2002,"Duke","ACC","",12,2,10,0,11,1,10,0,6,1,5,0,6,1,5,0
"258",2002,"East Carolina","Conference USA","",12,4,8,0,11,4,7,0,5,3,2,0,7,1,6,0
"259",2002,"Eastern Michigan","Mid-American","West",12,3,9,0,8,1,7,0,6,3,3,0,6,0,6,0
"260",2002,"Florida","SEC","East",13,8,5,0,8,6,2,0,8,5,3,0,5,3,2,0
"261",2002,"Florida State","ACC","",14,9,5,0,9,7,2,0,7,5,2,0,7,4,3,0
"262",2002,"Fresno State","Western Athletic","",14,9,5,0,8,6,2,0,7,6,1,0,7,3,4,0
"263",2002,"Georgia","SEC","East",14,13,1,0,9,8,1,0,8,7,1,0,6,6,0,0
"264",2002,"Georgia Tech","ACC","",13,7,6,0,9,5,4,0,6,4,2,0,7,3,4,0
"265",2002,"Hawai'i","Western Athletic","",14,10,4,0,8,7,1,0,9,7,2,0,5,3,2,0
"266",2002,"Houston","Conference USA","",12,5,7,0,9,3,6,0,6,3,3,0,6,2,4,0
"267",2002,"Idaho","Sun Belt","",12,2,10,0,6,1,5,0,5,2,3,0,7,0,7,0
"268",2002,"Illinois","Big Ten","",12,5,7,0,9,4,5,0,7,3,4,0,5,2,3,0
